feature,importance
PATIENT_NOSHOWRATE_CATEGORY,18.470798117899072
PATIENT_AVG_APPT2DOC_CATEGORY,11.521022245082102
AGE_CATEGORY,9.355026637528926
PATIENT_EMPLOYMENT_STATUS_CATEGORY,8.343233907915614
DAYS_BETWEEN_CATEGORY,7.207233132016215
PATIENT_MARITAL_STATUS_CATEGORY,5.777219122375457
LENGTH,5.482453608795264
PROV_NOSHOWRATE_CATEGORY,4.677594563054145
DEPT_NOSHOW_RATE_CATEGORY,3.753906331126654
MYCHART_ACTIVATED,3.1923784241033113
ANY_ED_IN_PRIOR_YEAR,3.00902831338136
VISIT_TYPE,2.964984548067678
PROV_AVG_APPT2DOC_CATEGORY,2.712910381222359
ANY_IP_IN_PRIOR_YEAR,2.4604317510147022
DEPT_AVG_APPT2DOC_CATEGORY,2.071238371953041
HOUR_CODE,2.0689409091663236
DAY_OF_WEEK_CODE,1.9299255584303743
MONTH_CODE,1.8281726084316248
DEPT_AVG_ROOM2DOC_CATEGORY,1.679519212539764
BLOCK_CODE,1.4939822558959504
